message,sender_label,receiver_label,score_delta,speaker,receiver,game_id,message_position,season,year
just an fyi i’ve now had both england and france suggest to me that i should move to tyrolia and france will support me to munich in the fall one saying that to me is not a big deal but with both mentioning it my alarm bells are going off i am concerned about an ef   i’m certainly not moving to tyrolia but i just want you to be cautious here i feel like england and france are working together,1,True,0,italy,germany,1,13,Spring,1901
i appreciate the tip but im wondering why youre so against ousting me from munich if i havent explicitly agreed to be your ally,1,True,0,germany,italy,1,14,Fall,1901
because it is terrible terrible play for italy to attack germany in my view if i were to attack you in munich i could never hold munich so all i would be doing is weakening you and helping france england or both to get really big   i don’t have any longterm path going north helping france to take you down is a sucker’s play whether you are working with me or not,1,,0,italy,germany,1,15,Fall,1901
did france tell you he was moving to burgundy or was that a stab,1,True,0,italy,germany,1,16,Fall,1901
i was not informed of it no and england is leading me to believe its part of a play for belgium so if theyre working together this might be a trick  italy you seem like a straight shooter and austria has confirmed with me about your twos alliance so ill confide in youthis is my first ever game of diplomacy and i think that teaming up with the two of you could help me learn more and have more fun so if youre still interested in a central powers alliance im in,1,True,0,germany,italy,1,17,Fall,1901
okay full disclosure im not very smart and i accidentally let slip to england that you told me france was plotting to take munich im sorry for the error but i figured it was better to admit it so you know that englandfrance may not trust you,1,True,0,germany,italy,1,18,Fall,1901
okay thanks for telling me,1,True,0,italy,germany,1,19,Fall,1901
so um no alliance then,1,True,1,germany,italy,1,20,Winter,1901
i do want to be allies sorry busy weekend here running around with bambinos more to come,1,True,-1,italy,germany,1,21,Winter,1901
what would you think of helping me take marseilles in two turns,1,True,1,germany,italy,1,22,Winter,1901
hi germany i’ll certainly consider that though i’ll note traditionally germany would help italy to marseilles if the two of them work together there the reason is that if i help you to marseilles i’m basically cut off from going west and getting anything myself so usually germany would help italy into marseilles to encourage italy to come west and germany would plan to take paris belgium and brest,1,True,-1,italy,germany,1,23,Winter,1901
fair enoughill help you take it then but ill need to deal with belgium first,1,True,1,germany,italy,1,24,Winter,1901
how are things going with england i think that getting him to work with you is the main key here,1,True,-1,italy,germany,1,25,Winter,1901
im tryingi just offered to assist with taking sweden in exchange for some assistance into belgiumnot sure if theyll go for it,1,True,1,germany,italy,1,26,Spring,1902
i’ll check with england and try to see where his head is at,1,True,-1,italy,germany,1,27,Spring,1902
ive actually been thinking about this game all day 😅  and have come up with a plan i like a bit better but england still hasnt responded to my initial offer,1,,1,germany,italy,1,28,Spring,1902
that’s the worst  and i’m glad to see you’re so focused on this in your first game it’s a really great game if you put in the time and effort,1,True,-1,italy,germany,1,29,Spring,1902
youre definitely telling the truth on that one so can i count on you to move to piedmont this season,1,True,1,germany,italy,1,30,Spring,1902
i don’t think i can afford to move to piedmont this season i don’t really trust austria to avoid walking through that door if i leave it wide open   i think you need to get england on board to attack france,1,True,-1,italy,germany,1,31,Spring,1902
thats valid and actually i was conferring with england and we concluded that its not really gonna be possible for me to help you take marseilles this year anyway   what are you and austria planning for this year then im willing to tell you my plans in exchange as a gesture of trust   have you communicated at all with england or france,1,True,1,germany,italy,1,32,Spring,1902
hi are you there  just woke up   england did return my message but he did not tell me anything substantive so i really don’t know what he’s doing i’m planning to move towards turkey,1,True,-1,italy,germany,1,33,Spring,1902
well you’re in trouble that england move is trouble   i’m going to try to convince him to change course i suggest you be very kind to him and don’t burn that bridge i think your game hinges on turning england around,1,True,-1,italy,germany,1,34,Spring,1902
hi germany  i’m working hard on turning england and i’m also trying to get russia to come to your aid doing the best i can i’ll keep you posted,1,True,-1,italy,germany,1,35,Fall,1902
england just told me that russia is helping them to take denmark so that may be a lost cause granted the source for that intel is a serpentine jackalspawn,1,True,1,germany,italy,1,36,Fall,1902
okay i’m reasonably sure that england wants to take the channel and attack france now   i believe that you should basically do whatever england asks to help make this happen as long as e attacks f you will be in a much better position and you’ll gain back centers quickly   what are you hearing,1,True,1,italy,germany,1,37,Spring,1903
what are your plans for this turn i cant help but notice that munich is surrounded by foreign armies on three sides  i wish i could be more helpful but im pretty much just treading water right now trying not to lose anything else,1,True,-1,germany,italy,1,38,Fall,1903
hey — sorry just getting back into this now,1,True,1,italy,germany,1,39,Fall,1903
i have good news 1 i am finally attacking france this turn 2 i will be supporting munich to hold from tyrolia   let’s turn this game around yes,1,True,1,italy,germany,1,40,Fall,1903
i am pretty sure that england is not attacking you this turn and i am committed to supporting munich holding make sure you don’t move munich so that it can take my support,1,True,1,italy,germany,1,41,Fall,1903
okay can do thanks,1,True,-1,germany,italy,1,42,Fall,1903
i suggest that you order kiel support berlin holding berlin support munich holding helg to holland munich support berlin holding,1,True,1,italy,germany,1,43,Fall,1903
i agree completelyalthough i didnt know that a country could hold and support at the same time thanks,1,True,-1,germany,italy,1,44,Fall,1903
thanks italy hope youre enjoying the weather on the anatolian 😉,1,True,-1,germany,italy,1,45,Fall,1903
i will be supporting munich to hold again and i’ll be trying to get russia to back off your flank and protect himself against an austrian stab that is coming,1,,2,italy,germany,1,46,Spring,1904
two bits of advice 1 i suggest you tell russia that austria is coming for him you really want russia to move sil back to gal you might also suggest to russia that is he supports you to denmark you will then support russia back to sweden i don’t know yet if it actually makes sense to do that but you want russia thinking that you are eager to work with him he’ll be hoping for a reason to break off his attack on you at this point,1,,2,italy,germany,1,47,Spring,1904
2 here is the move set i would suggest right now kiel support holland holding holland support wales to belgium tell england you are going to order this support and he can take it or leave it munich support berlin holding berlin support munich holding  i think that both france and russia are about to back off you as they are both under fire at home just hold still and soon you should be able to break out of this holding pattern,1,,2,italy,germany,1,48,Spring,1904
god i hope so im attempting to make that deal with russia nowand im talking with england re belgium,1,True,-2,germany,italy,1,49,Spring,1904
it’s none of my business but if you do plan to take denmark i strongly recommend you wait until fall i think the most important thing for you right now is getting england fully committed against france if that happens taking denmark later will be easy,1,True,2,italy,germany,1,50,Spring,1904
i think me and england are really on the same page at this point regarding france im actually sort of running counterintelligence for england and my friends to the south of course with russia right now   england and i talked about denmark tooand it seems like one or the other of denmark or belgium should work out for me this year and im fine with that,1,True,-2,germany,italy,1,51,Spring,1904
great to hear thank you,1,True,2,italy,germany,1,52,Spring,1904
do you need me to disrupt bur this year ill need to seriously trust russia if im going to risk not holding my eastern front i think,1,True,-2,germany,italy,1,53,Fall,1904
i do think a move to burgundy makes sense for you this turn and i can’t imagine russia attacking you here he has a serious austria problem   i suggest this mun  bur ruh  bel hol support ruh  bel  ber  kie  tell russia that the last thing in the world you want to see is austria run him over and you’re willing to help keep russia viable if necessary you’re angling for russia to disband his northern holdings this turn,1,True,2,italy,germany,1,54,Fall,1904
and ask england nicely to support ruh  hol with the explanation that you don’t plan to ask for denmark back but you think it would help you both to diminish france you’ll get den back eventually but you want england to think you don’t care about it,1,True,2,italy,germany,1,55,Fall,1904
thanks ill work on these  why didnt you scooch into the aegean behind austria you could have defended or even held bulgaria this turn,1,True,-2,germany,italy,1,56,Fall,1904
england and i were talking about your moves for this seasonwhat do you think of convoying pie into spa supporting this with wes and then moving tyr into pie,1,True,-2,germany,italy,1,57,Fall,1904
this leaves marseilles open for bur to fall into if france goes that route which gives me an opening into bur,1,True,-2,germany,italy,1,58,Fall,1904
that’s not bad,1,True,2,italy,germany,1,59,Fall,1904
i was kind of thinking i should pick one or the other of marseilles or spain to attack and not tell a soul which one i’m going after,1,True,2,italy,germany,1,60,Fall,1904
do you really think it’s important to coordinate,1,True,2,italy,germany,1,61,Fall,1904
i do think you’re best off moving to burgundy and there is some chance that we fail this turn but i think we just take a guess and hope for the best we’ll get him next turn if not this one,1,True,2,italy,germany,1,62,Fall,1904
okay—sorry for being nosy i will try for bur on the off chance it shakes out that way,1,True,-2,germany,italy,1,63,Fall,1904
nah you’re not being nosy at all i mean come on we both know that i have no problem sticking my nose where it doesn’t belong,1,True,2,italy,germany,1,64,Fall,1904
marked as true,1,True,-2,germany,italy,1,65,Fall,1904
i like to coordinate but on these sort of 5050 guesses i kind of like to keep it secret so that if it doesn’t go well i have nobody to blame but myself,1,True,2,italy,germany,1,66,Fall,1904
ha,1,True,2,italy,germany,1,67,Fall,1904
well are you willing to humor my question about the aegean anyway,1,True,-2,germany,italy,1,68,Fall,1904
sure i was thinking of moving that fleet to ionian you think a move to aegean is better i’m not really sure but let’s talk it through,1,True,2,italy,germany,1,69,Fall,1904
no sorry i meant in hindsightlike this past turn you should have moved to aeg so that this current turn when austria takes rumania from bulgaria youd be there to cover bulgaria so it couldnt get scooped by the black sea and potentially youd just get to take it,1,True,-2,germany,italy,1,70,Fall,1904
not a bad point i agree,1,True,2,italy,germany,1,71,Fall,1904
hmmmm kind of a pointless lie if you ask me but i won’t hold it against you you’re in a tough spot,1,True,2,italy,germany,1,72,Winter,1904
um what lie i did exactly the moves you suggested,1,True,-2,germany,italy,1,73,Winter,1904
ha so sorry i meant that for france,1,True,2,italy,germany,1,74,Winter,1904
you are my favorite,1,False,2,italy,germany,1,75,Winter,1904
marked as lie because clearly austria is your favorite speaking of i assume that your seizing trieste was mutually agreed upon,1,True,-2,germany,italy,1,76,Winter,1904
yes — agreed upon,1,True,2,italy,germany,1,77,Winter,1904
thats not what austria said to england,1,True,-2,germany,italy,1,78,Winter,1904
hmmmm okay well let’s just keep that between you and me then 🤦‍♂️,1,True,2,italy,germany,1,79,Winter,1904
you know italy i think we do need to coordinate your move this timeengland and i have a shot at either bur or mao if one of marseilles or spain can be left open for france to fall into this will improve all of our chances of crushing france quickly,1,True,-2,germany,italy,1,80,Winter,1904
okay i can dig it what do you want me to do,1,True,2,italy,germany,1,81,Winter,1904
let me confer with england and get back to you glad to hear that though,1,True,-2,germany,italy,1,82,Winter,1904
soany thoughts on how to approach this,1,True,2,italy,germany,1,83,Spring,1905
it looks like englands not willing to try for mao if it means possibly losing the channel however theyll bring the nwg fleet around to try for mao next year  so if you could keep marseilles open it will help me to try and take burgundy this turn,1,True,-2,germany,italy,1,84,Spring,1905
if i leave marseilles open would you kindly use burgundy in the fall to help me take marseilles likely that means ordering burgundy to gascony to cut support,1,True,2,italy,germany,1,85,Spring,1905
will do,1,True,-2,germany,italy,1,86,Spring,1905
okay so i still have a teensy little bone to pick with you on the offchance that austria wasnt lying and you did take trieste unexpectedly i sort of worry that i might be next are you willing to tell me what your plans are for the tri unit or at least to warn me before any move into tyrolia,1,True,-2,germany,italy,1,87,Spring,1905
sure but you’ll see from my moves this turn that austria is lying to you,1,True,2,italy,germany,1,88,Spring,1905
i currently have tri  tyrolia i like the unit there because it sets up an attack on austria if i ever want to go that route build a ven and go east do you want me to keep tyrolia clear,1,True,2,italy,germany,1,89,Spring,1905
i’ll add — i would never attack germany as italy setting myself as a giant column like that is just not defensible it would be a terrible move,1,True,2,italy,germany,1,90,Spring,1905
not when that column is notsogiant and in a turf war with france,1,True,-2,germany,italy,1,91,Spring,1905
oh you mean setting yourself,1,True,-2,germany,italy,1,92,Spring,1905
but you could easily pick off say munich and not be a giant column,1,True,-2,germany,italy,1,93,Spring,1905
i mean this sincerely any germany who does that is a terrible player   why would i do that i would need 23 units to hold one center that is a net negative and all of your units are doing things that are good for me in containing your neighbors   i’ve been working hard in this game for you to succeed and knock back france and england i can say with 100 certainty i’m not going to attack you i’m going to keep helping you as much as i can,1,True,2,italy,germany,1,94,Spring,1905
that said if you want me not to move to tyrolia i won’t move there,1,True,2,italy,germany,1,95,Spring,1905
nah i just needed some reassurance  your logic is undenyable— enjoy your stay in tyr,1,True,-2,germany,italy,1,96,Spring,1905
undeniable that looks better,1,True,-2,germany,italy,1,97,Spring,1905
i mean it sincerely i think that england will want to coax me to attack you with him after france falls but i’d much rather work with you against england   but first thing’s first — let’s get rid of france,1,True,2,italy,germany,1,98,Spring,1905
agreed,1,True,-2,germany,italy,1,99,Spring,1905
on the france part,1,True,-2,germany,italy,1,100,Spring,1905
sorry i wont be able to cut off gascony this turni probably should have just told you my moves you could have advised me that supporting munbur was more important than kieruh,1,True,-2,germany,italy,1,101,Fall,1905
no worries we’ll crack this but eventually   here is my suggestion for this turn kie  den hol s bel holding bel s ruh  bur mun s ruh  bur ruh  bur,1,True,2,italy,germany,1,102,Fall,1905
i think you should suggest to england that he gets sweden and st petersburg while you get denmark back that’s only fair as you have been a loyal ally in the fight against france and you plan to continue to do that,1,True,2,italy,germany,1,103,Fall,1905
the moves i had already planned differ in one respect i thought it would be worth the risk to try moving holbel and therefore move belbur even if me and france are highfiving in bel for a few seasons its still mine and its not like holland has anything better to do while im still allies with england  the only reason im reluctant to make that agreement with england is thatwhile i think you and i have a good relationshipi really have not talked with austria much at all and im the next logical target for them when russias gone and anything thats bad for russia right now is good for austria,1,True,-2,germany,italy,1,104,Fall,1905
hmmmm i’m just not sure you should trust england enough right now to leave holland open and belgium essentially unguarded   france is a really good player and he is no doubt working hard to get england to turn on you my personal take is that you are better off being a bit more conservative until you have denmark back and england has moved another fleet towards france but i can see it either way,1,True,2,italy,germany,1,105,Fall,1905
with regard to russia talk it through with england what you don’t want is england taking out russia and giving you nothing so if england agrees to let russia be for a while then your plan sounds good but if england is going to take sweden you really should get denmark back i’m my view,1,True,2,italy,germany,1,106,Fall,1905
okay youve convinced me its worth figuring out what es plans are for russia at least  and youre almost certainly right from a rational perspective about leaving hollandbelgium vulnerable to england but i think england really is counting on my assistance in taking france and because of that and other nonquantifiable reasons i trust them,1,True,-2,germany,italy,1,107,Fall,1905
excellent obviously you have a much better feel for your relationship with england than i do just know that france is persuasive and i’m sure that’s what he’s working on he stopped talking to me so i bet he’s trying to turn england just keep reassuring england that you want to work with him longterm so he doesn’t succumb to the dark side,1,True,2,italy,germany,1,108,Fall,1905
hi germany — well i think we’re getting to a critical point in the game here france held out a long time but he’s much less of a threat now i think the critical issue for you is england   i have some thoughts on the matter and some information but i’d like to feel confident that you and i will keep anything we say between us i think of you as the one person who has been honest with me on every turn you even tell me the truth when it’s bad news or when you don’t completely trust me and i like that,1,True,3,italy,germany,1,109,Winter,1905
okay italy i wont share any of this conversation but in the interest of continued full disclosure heres what i think england is a greater threat to me on the map but you have a greater chance of soloing this game quickly or pairwinning with austria even sooner and if i continue to collaborate with england we at least have a chance of slowing that down so im in sort of a conflicted spot,1,True,-3,germany,italy,1,110,Winter,1905
this is why i like you the full disclosure part you tell me the truth even when the news isn’t great,1,True,3,italy,germany,1,111,Winter,1905
my thoughts on the “germanyengland forever so that at least we can stop the solo” strategy 1 it’s quite early to be talking about solos i am at 8 and austria could take 3 from me any time quite easily 2 i don’t think england is thinking that way i think he’s thinking that a dominant power will emerge in the north and one will emerge in the south and he’s like to be that dominant power,1,True,3,italy,germany,1,112,Winter,1905
england’s pieces are not positioned well if he’s trying to attack france or contain italy he keeps denmark guarded and north sea filled he is not playing like he intends to stick with you even though i’m sure he’s telling you that,1,True,3,italy,germany,1,113,Winter,1905
you’re right that you don’t want to start a war with england right now but you must stick up for yourself because nobody else will do that if you don’t,1,True,3,italy,germany,1,114,Winter,1905
if i were you this is what i would do 1 keep warning england about the dangers of italy getting too big and insist that england moves his fleets towards mao channel to irish norwegian to nao north  channel 2 insist on taking denmark back,1,True,3,italy,germany,1,115,Winter,1905
i would say something like this  england i’m with you my friend but we’re passed the stage of you needing to keep me under lock and key i need to take denmark back i’m happy to support you to brest to keep you growing or you can grab sweden you have plenty of options other than keeping your ally’s center but if you really want to be my ally longterm you’ve got to show me that,1,True,3,italy,germany,1,116,Winter,1905
i am hearing from england signs that he may be thinking of attacking you soon and i think you actually avoid that better by being strong and sticking up for yourself rather than being accommodating and letting him do whatever he wants to do,1,True,3,italy,germany,1,117,Winter,1905
well both you and france have now pointed out that england is strategically not in a good place to be my ally right now and you are correct ill be more cautious with my northern border but i made a pretty strong argument for denmark this past turn and it fell on deaf ears,1,True,-3,germany,italy,1,118,Winter,1905
which probably also should have been a sign for me,1,True,-3,germany,italy,1,119,Winter,1905
well if you want you could just take denmark this next year and i don’t think england is in a position to retaliate,1,True,3,italy,germany,1,120,Winter,1905
probably nothas france been talking with you at all about their sunsetting strategy theyve indicated a willingness to work with you and me and a desire to see england get as few dots as possible,1,True,-3,germany,italy,1,121,Spring,1906
he did say that to me too though france has a long history of lying to me so i really don’t trust him,1,True,3,italy,germany,1,122,Spring,1906
well france has actually been pretty honest with me and i at least am certain that they wouldnt betray me to england so im considering working with f to sabotage or potentially fullon backstab england this turn which would have the sideeffect of maybe taking some attention away from the south for you anyway,1,True,-3,germany,italy,1,123,Spring,1906
and id be interested to hear your thoughts on this if youre in the mood to give out free advice,1,True,-3,germany,italy,1,124,Spring,1906
hi germany — sorry for the delay welli think it’s really important that you get a build this turn either way i don’t think england will get a build this turn so if i were you i’d probably take paris build a fleet and move on england after that,1,True,3,italy,germany,1,125,Spring,1906
but it likely depends on how communication is going with england if he’ll give you back denmark that might change the equation,1,True,3,italy,germany,1,126,Spring,1906
i am waiting on england to make a decision about thatthey claim to be thinking about it,1,True,-3,germany,italy,1,127,Spring,1906
england told me you said i was plotting with france it makes sense you’d want to pit us against each other,1,True,-3,germany,italy,1,128,Spring,1906
hey — tried to send you a message earlier but not was down england was telling me that you’re saying that i told you that england is plotting against you the problem with telling england that is that he will stop giving me useful info,1,True,3,italy,germany,1,129,Spring,1906
truly i don’t want you and england to fight i am not trying to break you up i suggested that you take paris i want you guys to work together with me against france,1,True,3,italy,germany,1,130,Spring,1906
you dont want us to fight yet you betrayed both of our confidence with you in a way that makes us distrust each other,1,True,-3,germany,italy,1,131,Spring,1906
i really don’t think that’s a fair description you guys both wanted to attack each other i encouraged you both to keep working together,0,True,3,italy,germany,1,132,Spring,1906
just as long as it suits you are you going to give england mao,1,True,-3,germany,italy,1,133,Spring,1906
hmmm should i be reading that as angry sarcastic with dagger eyes i’m not sure if i’m getting your tone right,1,True,3,italy,germany,1,134,Spring,1906
we’re friends right i believe that every single message i’ve sent you all game has been truth and i’ve gone out of my way to give you candid advice are we still friends,0,True,3,italy,germany,1,135,Spring,1906
regarding mao — i don’t know what do you want me to do i don’t have any set plan,1,True,3,italy,germany,1,136,Spring,1906
yep theres some sarcasm there looking back at your messages i still dont read them as encouraging collaboration and if you wanted us to be friends you could have done that without betraying me to england by simply saying in your candid way i dont think you should do that for such and such reason but you chose to increase es distrust of me so i think you might be full of gnocchi and crap   my trust in you is a bit shaken but i still think we can have a working partnership with a bit more caution on my end it would be my preference that you hold mao on the assumption that if it came down to a choice between partnering with me or england youd choose me if thats not the case then as the filling of an englanditaly sandwich im in no position to retaliate anyway,1,True,-3,germany,italy,1,137,Spring,1906
well again i like that you’re honest with me even when the news is bad,1,True,3,italy,germany,1,138,Fall,1906
i have to say that i’m surprised that you feel that i’ve betrayed your trust i have been feeling like maybe i’ve been too helpful to you and been a bit over the top in offering advice etc but it seems like i’ve misread the situation,0,True,3,italy,germany,1,139,Fall,1906
no its completely true that youve been too helpful and im really really grateful for it because ive been able to learn so much from this game but its also true that you didnt have to tell england what you did and all you stood to gain from it was that it shook my and es trust in each other,1,True,-3,germany,italy,1,140,Fall,1906
but i understand what you’re saying and i much prefer to have a heart to heart like this a frank airing of grievances rather than being surprised by unkind moves on the board httpsyoutubexoirv6bbjog,1,True,3,italy,germany,1,141,Fall,1906
was not expecting seinfeld today and it was a pleasant surprise,1,True,-3,germany,italy,1,142,Fall,1906
🤗,1,True,3,italy,germany,1,143,Fall,1906
here’s the deal i like you better than england,0,True,3,italy,germany,1,144,Fall,1906
i’m not sure how the next couple of turns are going to shake out but i like that you tell me when you’re angry with me i know that may seem like a small thing but it’s just rare in diplomacy you get so many fake smiles,1,True,3,italy,germany,1,145,Fall,1906
so if it comes down to you or him i’m choosing you and i’ll work to do a better job of keeping your confidence i certainly understand how important that is as i hate it when people o that same thing to me,1,True,3,italy,germany,1,146,Fall,1906
so no more playing mediator for me,1,True,3,italy,germany,1,147,Fall,1906
okay is it true that you want the channel,1,True,-3,germany,italy,1,148,Fall,1906
and are you planning to keep vienna,1,True,-3,germany,italy,1,149,Fall,1906
i am not planning to keep vienna and yeah i’ve asked france for support to the channel do you think he’s on board,1,True,3,italy,germany,1,150,Fall,1906
im not sure is england on board is this something england can know about,1,,-3,germany,italy,1,151,Fall,1906
no do you think france will support me to the channel,1,True,3,italy,germany,1,152,Fall,1906
france has asked my opinion on it and i havent given it yet to my estimation things look a lot better for me if you dont end up there i dont want to see england in mao and i dont want to see you snagging pieces of the north,1,True,-3,germany,italy,1,153,Fall,1906
okay well here is my thinking tell france whatever you want to make him happy then tell me how you really feel and if you don’t want me to go there i won’t go there,1,True,3,italy,germany,1,154,Fall,1906
if i hadnt asked you about it would that have just been another surprise too,1,True,-3,germany,italy,1,155,Fall,1906
absolutely   you and i have discussed our moves and been honest with each other every turn but we have not been sharing all our moves or preclearing all of our moves so that would have ben a surprise in the same way that your moves are a surprise to me i never tell you what to do or insist on knowing,1,True,3,italy,germany,1,156,Fall,1906
i kind of thought that you would have wanted me in the channel because it commits me further against england but i can understand what you’re saying now about wanting me to hang back,1,True,3,italy,germany,1,157,Fall,1906
but i don’t think there is anything wrong with me contemplating moves without telling you all of them you asked me about it and i told you the truth,0,True,3,italy,germany,1,158,Fall,1906
i do think that this move is a breach of general expectation which is the kind of thing id like to know about and its also the kind of thing ive shared with you case in point my desire to stab england,1,True,-3,germany,italy,1,159,Fall,1906
okay understood,1,True,3,italy,germany,1,160,Fall,1906
is there anything i could gain from seeing you in the channel would you support me taking nth and potentially seizing the island,1,True,-3,germany,italy,1,161,Fall,1906
heres what im thinking i would be on board with you taking the channel and id give france the green light to go ahead with it if you would agree to bump nao out of mao using wes and if youd be open to supporting some antienglish aggression while holding the channel so that i can get on equal footing with you dotwise  if you dont want to agree to those terms thats okay but i would strongly prefer not to see you in the channel in that case,1,True,-3,germany,italy,1,162,Fall,1906
i’m going to be out of pocket this weekend so let’s talk this through more on monday generally i agree that i’ll either stay out of the channel or agree to your terms for entering there,1,True,3,italy,germany,1,163,Fall,1906
if you decide to stay out of the channel i have a deal that i like with england in the works for that deal to go through youd have to agree to move mao into portugal to let england take mao would you be amenable to that,1,True,-3,germany,italy,1,164,Fall,1906
if this second offer is more to think about than a nobrainer you can just mull it over and let me know monday,1,True,-3,germany,italy,1,165,Fall,1906
so here is my concern with the england offer if i’m taking portugal why do we want england in mao and why would he want to go to mao i’m not sure i understand that one can you explain,1,True,3,italy,germany,1,166,Fall,1906
well when i initially proposed the deal i had forgotten that portugal was promised to england then england agreed to it on the condition that you would confirm that move so i figured e thought you would just move out of there next year but now that i think about it it’s probably worth asking england why they’d agree to that,1,True,-3,germany,italy,1,167,Fall,1906
i’d prefer that you not tell england i am considering moving to the channel i don’t think he would like that,1,True,3,italy,germany,1,168,Fall,1906
i don’t really want to discuss this stuff with england at all,1,True,3,italy,germany,1,169,Fall,1906
well england changed their mind about the plan i offered anyway so are you taking the channel,1,True,-3,germany,italy,1,170,Fall,1906
no i’m not taking the channel,1,True,3,italy,germany,1,171,Fall,1906
okay was that a recent decision because like an hour ago france said they were supporting you into the channel,1,True,-3,germany,italy,1,172,Fall,1906
well when i tell you what i plan to do do you turn around and tell france this makes me uncomfortable speaking with you,1,True,3,italy,germany,1,173,Fall,1906
i havent spoken to france since then i didnt realize you were giving the two of us different information on this particular subject but i dont think ive revealed anything to them about what you plan to do mostly because you havent told me,1,True,-3,germany,italy,1,174,Fall,1906
well i have been honest with both you and france you told me that i need to promise you a set of things in order to take the channel i felt like it was more than i could be sure of doing so i am not entering the channel i won’t go there without your permission,0,True,3,italy,germany,1,175,Fall,1906
i appreciate that and ill keep the remainder of this conversation between us unless i hear otherwise have you just recently made an agreement with england,1,True,-3,germany,italy,1,176,Fall,1906
i heard as much but i want to verify the contents of that agreement with you,1,True,-3,germany,italy,1,177,Fall,1906
btw france just said that they submitted the orders to support you into the channel,1,True,-3,germany,italy,1,178,Fall,1906
i don’t have an agreement with england but he is asking me about my moves and trying to get my help,1,True,3,italy,germany,1,179,Fall,1906
okaythen england is lying to me saying that youre helping support engbrest,1,True,-3,germany,italy,1,180,Fall,1906
ha yeah fat chance,0,True,3,italy,germany,1,181,Fall,1906
but did you lie to england about that or can i say to england that i dont think youll actually provide that support,1,True,-3,germany,italy,1,182,Fall,1906
what is paris up to,1,True,3,italy,germany,1,183,Fall,1906
i suggest you just not tell england anything about my moves,1,True,3,italy,germany,1,184,Fall,1906
do you want me to support england to brest,1,,3,italy,germany,1,185,Fall,1906
i guess i’m not sure what your goals are here,1,True,3,italy,germany,1,186,Fall,1906
i just kind of feel like you’re grilling me with a lot of questions but not telling me what you’re doing or what you want from me,1,True,3,italy,germany,1,187,Fall,1906
if you support engbrest england has agreed to vacate denmark for me if you dont i wont get in the way of your channel thing any other questions,1,True,-3,germany,italy,1,188,Fall,1906
i have no sense of what you want or what your plan is but i thought id been pretty clear i want denmark i am reluctant to see you in the channel if england remains powerful but happy to see you there if they are weakened,1,True,-3,germany,italy,1,189,Fall,1906
can’t you just force denmark,1,True,3,italy,germany,1,190,Fall,1906
not without risking a swipe of belgium,1,True,-3,germany,italy,1,191,Fall,1906
and why force when you dont have to,1,,-3,germany,italy,1,192,Fall,1906
okay i’ll support england to brest you take denmark,1,True,3,italy,germany,1,193,Fall,1906
and you and i should be in position to take out england next year,1,True,3,italy,germany,1,194,Fall,1906
splendid,1,True,-3,germany,italy,1,195,Fall,1906
glad everything worked out 😃,1,True,-3,germany,italy,1,196,Winter,1906
